Year,Category,Entries
2009,Aged Beer,32
2009,American Style Amber Lager,45
2009,American Style Amber/Red Ale,78
2009,American Style Brown Ale,43
2009,American Style Light Lager,25
2009,American Style Pale Ale,108
2009,American Style Specialty Lager,23
2009,American-Belgo-Style Ale,51
2009,American-Style Cream Ale or Lager,24
2009,American-Style Dark Lager,15
2009,American-Style India Pale Ale,134
2009,American-Style Lager or Premium Lager,34
2009,American-Style Sour Ale,32
2009,American-Style Stout,22
2009,American-Style Strong Pale Ale,70
2009,American-Style Wheat Beer,19
2009,American-Style Wheat Beer With Yeast,43
2009,Baltic-Style Porter,16
2009,Barley Wine Style Ale,54
2009,Belgian and French-Style Ale,41
2009,Belgian Style Strong Specialty Ale,70
2009,Belgian-Style Abbey Ale,58
2009,Belgian-Style Lambic or Sour Ale,29
2009,Belgian-Style Witbier,53
2009,Bock,40
2009,Bohemian Style Pilsener,39
2009,Brown Porter,38
2009,Classic English Style Pale Ale,33
2009,Classic Irish Style Dry Stout,19
2009,Coffee Flavored Beer,45
2009,Dortmunder or German-Style Oktoberfest,20
2009,English Style Brown Ale,41
2009,English Style Mild Ale,17
2009,English-Style India Pale Ale,40
2009,English-Style Summer Ale,33
2009,European Style Dunkel,21
2009,Experimental Beer,32
2009,Extra Special Bitter or Strong Bitter,47
2009,Foreign Style Stout,20
2009,French- and Belgian Style Saison,56
2009,Fruit Beer or Field Beer,104
2009,German Style Altbier,35
2009,German Style Doppelbock or Eisbock,21
2009,German Style Kölsch,43
2009,German Style Märzen,45
2009,German Style Schwarzbier,34
2009,German-Style Pilsener,48
2009,German-Style Sour Ale,13
2009,German-Style Wheat Ale,38
2009,Gluten Free Beer,10
2009,Golden or Blonde Ale,43
2009,Herb and Spice or Chocolate Beer,85
2009,Imperial India Pale Ale,77
2009,Imperial Red Ale,36
2009,Imperial Stout,56
2009,International-Style Pilsener,13
2009,Irish Style Red Ale,32
2009,Kellerbier/Zwickelbier,27
2009,Munich Style Helles,31
2009,Oatmeal Stout,31
2009,Old Ale or Strong Ale,29
2009,Ordinary or Special Bitter,45
2009,Other Strong Beer,44
2009,Out of Category – Traditionally Brewed Beer,82
2009,Robust Porter,57
2009,Rye Beer,21
2009,Scotch Ale,37
2009,Scottish Style Ale,29
2009,Session Beer,27
2009,Smoked Beer,43
2009,South German Style Hefeweizen,66
2009,Specialty Beer,21
2009,Specialty Honey Beer,36
2009,Sweet Stout,27
2009,Vienna Style Lager,25
2009,Wood- and Barrel-Aged Beer,33
2009,Wood- and Barrel-Aged Sour Beer,45
2009,Wood- and Barrel-Aged Strong Beer,110
2010,Aged Beer,30
2010,American-Belgo-Style Ale,47
2010,American-Style Amber Lager,39
2010,American-Style Amber/Red Ale,83
2010,American-Style Brown Ale,47
2010,American-Style Dark Lager,20
2010,American-Style India Black Ale,53
2010,American-Style India Pale Ale,142
2010,American-Style Lager or Light Lager,53
2010,American-Style or International-Style Pilsener,27
2010,American-Style Pale Ale,109
2010,American-Style Sour Ale,39
2010,American-Style Specialty Lager or Cream Ale,42
2010,American-Style Stout,27
2010,American-Style Strong Pale Ale,84
2010,American-Style Wheat Beer,23
2010,American-Style Wheat Beer With Yeast,43
2010,Baltic-Style Porter,21
2010,Barley Wine-Style Ale,57
2010,Belgian- and French-Style Ale,46
2010,Belgian-Style Abbey Ale,76
2010,Belgian-Style Lambic or Sour Ale,33
2010,Belgian-Style Strong Specialty Ale,54
2010,Belgian-Style Witbier,45
2010,Bock,36
2010,Bohemian-Style Pilsener,42
2010,Brown Porter,33
2010,Classic English-Style Pale Ale,29
2010,Classic Irish-Style Dry Stout,23
2010,Coffee Flavored Beer,52
2010,Dortmunder or German-Style Oktoberfest,21
2010,English-Style Brown Ale,46
2010,English-Style India Pale Ale,32
2010,English-Style Mild Ale,27
2010,English-Style Summer Ale,35
2010,European-Style Dunkel,19
2010,Experimental Beer,43
2010,Extra Special Bitter or Strong Bitter,42
2010,Field Beer,28
2010,Foreign-Style Stout,33
2010,French- and Belgian-Style Saison,52
2010,Fruit Beer,75
2010,German-Style Altbier,37
2010,German-Style Doppelbock or Eisbock,25
2010,German-Style Kölsch,46
2010,German-Style Märzen,41
2010,German-Style Pilsener,48
2010,German-Style Schwarzbier,31
2010,German-Style Sour Ale,23
2010,German-Style Wheat Ale,29
2010,Gluten Free Beer,13
2010,Golden or Blonde Ale,55
2010,Herb and Spice or Chocolate Beer,91
2010,Imperial India Pale Ale,97
2010,Imperial Red Ale,43
2010,Imperial Stout,50
2010,Irish-Style Red Ale,23
2010,Kellerbier/Zwickelbier,24
2010,Munich-Style Helles,42
2010,Oatmeal Stout,39
2010,Old Ale or Strong Ale,38
2010,Ordinary or Special Bitter,47
2010,Other Strong Beer,48
2010,Out of Category – Traditionally Brewed Beer,66
2010,Robust Porter,53
2010,Rye Beer,32
2010,Scotch Ale,34
2010,Scottish-Style Ale,22
2010,Session Beer,30
2010,Smoked Beer,38
2010,South German-Style Hefeweizen,65
2010,Specialty Beer,23
2010,Specialty Honey Beer,24
2010,Sweet Stout,29
2010,Vienna-Style Lager,35
2010,Wood- and Barrel-Aged Beer,32
2010,Wood- and Barrel-Aged Sour Beer,54
2010,Wood- and Barrel-Aged Strong Beer,77
2010,Wood- and Barrel-Aged Strong Stout,34
2011,Aged Beer,36
2011,American-Belgo-Style Ale,43
2011,American-Style Amber Lager,58
2011,American-Style Amber/Red Ale,82
2011,American-Style Black Ale,74
2011,American-Style Brett Ale,31
2011,American-Style Brown Ale,49
2011,American-Style Dark Lager,16
2011,American-Style India Pale Ale,176
2011,American-Style Lager Light Lager or Premium Lager,55
2011,American-Style or International-Style Pilsener,31
2011,American-Style Pale Ale,105
2011,American-Style Sour Ale,21
2011,American-Style Specialty Lager or Cream Ale or Lager,31
2011,American-Style Stout,37
2011,American-Style Strong Pale Ale,103
2011,American-Style Wheat Beer,20
2011,American-Style Wheat Beer With Yeast,38
2011,Baltic-Style Porter,19
2011,Barley Wine-Style Ale,42
2011,Belgian- and French-Style Ale,56
2011,Belgian-Style Abbey Ale,76
2011,Belgian-Style Lambic or Sour Ale,51
2011,Belgian-Style Strong Specialty Ale,59
2011,Belgian-Style Witbier,53
2011,Bock,34
2011,Bohemian-Style Pilsener,42
2011,Brown Porter,32
2011,Chocolate Beer,30
2011,Classic English-Style Pale Ale,25
2011,Classic Irish-Style Dry Stout,24
2011,Coffee Beer,60
2011,Dortmunder or German-Style Oktoberfest,20
2011,English-Style Brown Ale,45
2011,English-Style India Pale Ale,46
2011,English-Style Mild Ale,25
2011,English-Style Summer Ale,33
2011,European-Style Dunkel,23
2011,Experimental Beer,83
2011,Extra Special Bitter,43
2011,Field Beer or Pumpkin Beer,37
2011,Foreign-Style Stout,23
2011,French- and Belgian-Style Saison,65
2011,Fruit Beer,56
2011,Fruit Wheat Beer,48
2011,German-Style Altbier,30
2011,German-Style Doppelbock or Eisbock,22
2011,German-Style Kölsch,48
2011,German-Style Märzen,58
2011,German-Style Pilsener,42
2011,German-Style Schwarzbier,26
2011,German-Style Sour Ale,13
2011,German-Style Wheat Ale,23
2011,Gluten-Free Beer,15
2011,Golden or Blonde Ale,56
2011,Herb and Spice Beer,92
2011,Imperial India Pale Ale,102
2011,Imperial Red Ale,57
2011,Imperial Stout,56
2011,Indigenous Beer,31
2011,International-Style Pale Ale,20
2011,Irish-Style Red Ale,31
2011,Kellerbier or Zwickelbier,48
2011,Munich-Style Helles,38
2011,Oatmeal Stout,36
2011,Old Ale or Strong Ale,35
2011,Ordinary or Special Bitter,28
2011,Other Strong Beer,53
2011,Robust Porter,62
2011,Rye Beer,36
2011,Scotch Ale,39
2011,Scottish-Style Ale,27
2011,Session Beer,44
2011,Smoke Beer,43
2011,South German-Style Hefeweizen,64
2011,Specialty Beer,24
2011,Specialty Honey Beer,32
2011,Sweet Stout,19
2011,Vienna-Style Lager,32
2011,Wood- and Barrel-Aged Beer,40
2011,Wood- and Barrel-Aged Sour Beer,75
2011,Wood- and Barrel-Aged Strong Beer,118
2011,Wood- and Barrel-Aged Strong Stout,74
2012,Aged Beer,24
2012,American-Belgo-Style Ale,71
2012,American-Style Amber Lager,45
2012,American-Style Amber/Red Ale,87
2012,American-Style Black Ale,61
2012,American-Style Brett Ale,29
2012,American-Style Brown Ale,61
2012,American-Style Dark Lager,12
2012,American-Style India Pale Ale,203
2012,"American-Style Lager, Light Lager or Premium Lager",51
2012,American-Style or International-Style Pilsener,26
2012,American-Style Pale Ale,109
2012,American-Style Sour Ale,34
2012,American-Style Specialty Lager or Cream Ale or Lager,34
2012,American-Style Stout,43
2012,American-Style Strong Pale Ale,111
2012,American-Style Wheat Beer,29
2012,American-Style Wheat Beer with Yeast,29
2012,Baltic-Style Porter,31
2012,Barley Wine-Style Ale,51
2012,Belgian- and French-Style Ale,68
2012,Belgian-Style Abbey Ale,86
2012,Belgian-Style Lambic or Sour Ale,42
2012,Belgian-Style Strong Specialty Ale,51
2012,Belgian-Style Witbier,50
2012,Bock,33
2012,Bohemian-Style Pilsener,53
2012,Brown Porter,44
2012,Chocolate Beer,39
2012,Classic English-Style Pale Ale,29
2012,Classic Irish-Style Dry Stout,16
2012,Coffee Beer,63
2012,Dortmunder or German-Style Oktoberfest,23
2012,English-Style Brown Ale,46
2012,English-Style India Pale Ale,54
2012,English-Style Mild Ale,31
2012,English-Style Summer Ale,38
2012,European-Style Dunkel,20
2012,Experimental Beer,62
2012,Extra Special Bitter,53
2012,Field Beer or Pumpkin Beer,63
2012,Foreign-Style Stout,25
2012,French- and Belgian-Style Saison,68
2012,Fresh Hop Ale,34
2012,Fruit Beer,58
2012,Fruit Wheat Beer,38
2012,German-Style Altbier,35
2012,German-Style Doppelbock or Eisbock,19
2012,German-Style Kölsch,61
2012,German-Style Märzen,69
2012,German-Style Pilsener,52
2012,German-Style Schwarzbier,32
2012,German-Style Sour Ale,29
2012,German-Style Wheat Ale,23
2012,Gluten-Free Beer,20
2012,Golden or Blonde Ale,67
2012,Herb and Spice Beer,114
2012,Imperial India Pale Ale,128
2012,Imperial Red Ale,60
2012,Imperial Stout,58
2012,Indigenous Beer,27
2012,International-Style Pale Ale,29
2012,Irish-Style Red Ale,48
2012,Kellerbier or Zwickelbier,32
2012,Munich-Style Helles,42
2012,Oatmeal Stout,45
2012,Old Ale or Strong Ale,31
2012,Ordinary or Special Bitter,37
2012,Other Strong Beer,55
2012,Robust Porter,62
2012,Rye Beer,62
2012,Scotch Ale,44
2012,Scottish-Style Ale,29
2012,Session Beer,67
2012,Smoke Beer,50
2012,South German-Style Hefeweizen,70
2012,Specialty Beer,35
2012,Specialty Honey Beer,33
2012,Sweet Stout,32
2012,Vienna-Style Lager,36
2012,Wood- and Barrel-Aged Beer,51
2012,Wood- and Barrel-Aged Sour Beer,70
2012,Wood- and Barrel-Aged Strong Beer,103
2012,Wood- and Barrel-Aged Strong Stout,65
2013,Aged Beer,31
2013,American-Belgo-Style Ale,81
2013,American-Style Amber Lager,61
2013,American-Style Amber/Red Ale,89
2013,American-Style Black Ale,73
2013,American-Style Brett Beer,38
2013,American-Style Brown Ale,66
2013,American-Style Cream Ale,37
2013,American-Style Dark Lager,22
2013,American-Style India Pale Ale,252
2013,American-Style Lager or Light Lager,42
2013,American-Style or International-Style Pilsener,29
2013,American-Style Pale Ale,124
2013,American-Style Sour Ale,31
2013,American-Style Stout,40
2013,American-Style Strong Pale Ale,120
2013,American-Style Wheat Beer,31
2013,American-Style Wheat Beer With Yeast,32
2013,Baltic-Style Porter,16
2013,Barley Wine-Style Ale,55
2013,Belgian- and French-Style Ale,71
2013,Belgian-Style Abbey Ale,88
2013,Belgian-Style Lambic or Sour Ale,47
2013,Belgian-Style Strong Specialty Ale,80
2013,Belgian-Style Witbier,66
2013,Bock,28
2013,Bohemian-Style Pilsener,53
2013,Brown Porter,30
2013,Chocolate Beer,39
2013,Classic English-Style Pale Ale,29
2013,Classic Irish-Style Dry Stout,31
2013,Coffee Beer,92
2013,Dortmunder or German-Style Oktoberfest,29
2013,English-Style Brown Ale,41
2013,English-Style India Pale Ale,31
2013,English-Style Mild Ale,35
2013,English-Style Summer Ale,27
2013,European-Style Dunkel,19
2013,Experimental Beer,66
2013,Extra Special Bitter,56
2013,Field Beer or Pumpkin Beer,91
2013,Foreign-Style Stout,31
2013,French & Belgian-Style Saison,119
2013,Fresh Hop Ale,46
2013,Fruit Beer,73
2013,Fruit Wheat Beer,48
2013,German-Style Altbier,32
2013,German-Style Doppelbock or Eisbock,32
2013,German-Style Kölsch,60
2013,German-Style Märzen,51
2013,German-Style Pilsener,56
2013,German-Style Schwarzbier,26
2013,German-Style Sour Ale,46
2013,German-Style Wheat Ale,28
2013,Gluten-Free Beer,14
2013,Golden or Blonde Ale,69
2013,Herb and Spice Beer,134
2013,Imperial India Pale Ale,149
2013,Imperial Red Ale,56
2013,Imperial Stout,59
2013,Indigenous Beer,28
2013,International-Style Pale Ale,30
2013,Irish-Style Red Ale,48
2013,Kellerbier or Zwickelbier,30
2013,Munich-Style Helles,42
2013,Oatmeal Stout,48
2013,Old Ale or Strong Ale,41
2013,Ordinary or Special Bitter,37
2013,Other Strong Beer,51
2013,Robust Porter,74
2013,Rye Beer,63
2013,Scotch Ale,44
2013,Scottish-Style Ale,42
2013,Session Beer,56
2013,Smoke Beer,79
2013,South German-Style Hefeweizen,77
2013,Specialty Beer,31
2013,Specialty Honey Beer,40
2013,Sweet Stout or Cream Stout,39
2013,Vienna-Style Lager,30
2013,Wood- and Barrel-Aged Beer,49
2013,Wood- and Barrel-Aged Sour Beer,76
2013,Wood- and Barrel-Aged Strong Beer,117
2013,Wood- and Barrel-Aged Strong Stout,89
2014,Aged Beer,22
2014,American-Belgo-Style Ale,69
2014,American-Style Amber Lager,52
2014,American-Style Amber/Red Ale,140
2014,American-Style Black Ale,72
2014,American-Style Brett Beer,44
2014,American-Style Brown Ale,81
2014,American-Style Cream Ale,43
2014,American-Style Dark Lager,19
2014,American-Style Fruit Beer,56
2014,American-Style India Pale Ale,279
2014,American-Style Lager or Light Lager,32
2014,American-Style or International-Style Pilsener,41
2014,American-Style Pale Ale,145
2014,American-Style Sour Ale,56
2014,American-Style Stout,48
2014,American-Style Strong Pale Ale,134
2014,American-Style Wheat Beer,31
2014,American-Style Wheat Beer With Yeast,44
2014,Baltic-Style Porter,42
2014,Barley Wine-Style Ale,51
2014,Belgian- and French-Style Ale,27
2014,Belgian-Style Abbey Ale,62
2014,Belgian-Style Blonde Ale or Pale Ale,44
2014,Belgian-Style Fruit Beer,41
2014,Belgian-Style Lambic or Sour Ale,60
2014,Belgian-Style Strong Specialty Ale,64
2014,Belgian-Style Tripel,58
2014,Belgian-Style Witbier,65
2014,Bock,27
2014,Bohemian-Style Pilsener,46
